@RELATION datafile
@ATTRIBUTE year DATE "y" 
@ATTRIBUTE country STRING
@ATTRIBUTE balanceOfPayments NUMERIC
@ATTRIBUTE unemploymentRate NUMERIC
@ATTRIBUTE gdpPerInhabitant NUMERIC
@ATTRIBUTE population NUMERIC
@DATA
2002,"Romania",7.5,3,2200,21833483
2003,"Romania",6.8,3,2400,21772774
2004,"Romania",8.0,2,2800,21711252
2005,"Romania",7.2,3,3700,21658528
2006,"Romania",7.3,3,4500,21610213
2007,"Romania",6.4,3,5800,21565119
2008,"Romania",5.8,3,6500,21528627
2009,"Romania",6.9,2,5500,21498616
2010,"Romania",7.3,2,5800,21462186
2011,"Romania",7.4,2,?,21413815
2012,"Romania",7.0,-5264,?,21355849
1983,"Slovenia",?,?,?,1917173
1984,"Slovenia",?,?,?,1927469
1985,"Slovenia",?,?,?,1936839
1986,"Slovenia",?,?,?,1946442
1987,"Slovenia",?,?,?,1985486
1988,"Slovenia",?,?,?,1994066
1989,"Slovenia",?,?,?,1996325
1990,"Slovenia",?,?,?,1996377
1991,"Slovenia",?,?,4700,1999945
1992,"Slovenia",?,?,4800,1998912
1993,"Slovenia",?,?,5400,1994084
1994,"Slovenia",?,6,6100,1989408
1995,"Slovenia",?,5,8100,1989477
1996,"Slovenia",6.9,2,8400,1990266
1997,"Slovenia",6.9,2,9100,1986989
1998,"Slovenia",7.4,2,9800,1984923
1999,"Slovenia",7.3,4,10500,1978334
2000,"Slovenia",6.7,5,10800,1987755
2001,"Slovenia",6.2,5,11500,1990094
2002,"Slovenia",6.3,4,12300,1994026
2003,"Slovenia",6.7,4,12900,1995033
2004,"Slovenia",6.3,2,13600,1996433
2005,"Slovenia",6.5,3,14400,1997590
2006,"Slovenia",6.0,3,15500,2003358
2007,"Slovenia",4.9,3,17100,2010377
2008,"Slovenia",4.4,3,18400,2010269
2009,"Slovenia",5.9,2,17400,2032362
2010,"Slovenia",7.3,2,17400,2046976
2011,"Slovenia",8.2,2,17600,2050189
2012,"Slovenia",8.9,817,17200,2055496
1983,"Slovakia",?,?,?,5074316
1984,"Slovakia",?,?,?,5109626
1985,"Slovakia",?,?,?,5144568
1986,"Slovakia",?,?,?,5178967
1987,"Slovakia",?,?,?,5208708
1988,"Slovakia",?,?,?,5236972
1989,"Slovakia",?,?,?,5264220
1990,"Slovakia",?,?,?,5287663
1991,"Slovakia",?,?,?,5310711
1992,"Slovakia",?,?,?,5295877
1993,"Slovakia",?,?,2100,5314155
1994,"Slovakia",?,6,2400,5336455
1995,"Slovakia",?,5,2800,5356207
1996,"Slovakia",?,2,3100,5367790
1997,"Slovakia",?,1,3500,5378932
1998,"Slovakia",12.7,2,3700,5387650
1999,"Slovakia",16.5,4,3600,5393382
2000,"Slovakia",18.9,5,4100,5398657
2001,"Slovakia",19.5,5,4400,5378783
2002,"Slovakia",18.8,3,4800,5378951
2003,"Slovakia",17.7,3,5500,5379161
2004,"Slovakia",18.4,2,6300,5380053
2005,"Slovakia",16.4,3,7100,5384822
2006,"Slovakia",13.5,3,8300,5389180
2007,"Slovakia",11.2,3,10200,5393637
2008,"Slovakia",9.6,3,11900,5400998
2009,"Slovakia",12.1,2,11600,5412254
2010,"Slovakia",14.5,2,12100,5424925
2011,"Slovakia",13.6,2,12700,5392446
2012,"Slovakia",14.0,1613,13200,5404322
1983,"Finland",?,1,11700,4841715
1984,"Finland",?,1,13600,4869858
1985,"Finland",?,1,14800,4893748
1986,"Finland",?,1,15000,4910664
1987,"Finland",?,1,15800,4925644
1988,"Finland",4.2,3,18300,4938602
1989,"Finland",3.1,3,21400,4954359
1990,"Finland",3.2,3,21900,4974383
1991,"Finland",6.6,9,20200,4998478
1992,"Finland",11.7,7,16900,5029002
1993,"Finland",16.3,5,14700,5054982
1994,"Finland",16.6,6,16700,5077912
1995,"Finland",15.4,6,19600,5098754
1996,"Finland",14.6,3,19700,5116826
1997,"Finland",12.7,3,21100,5132320
1998,"Finland",11.4,4,22500,5147349
1999,"Finland",10.2,5,23700,5159646
2000,"Finland",9.8,7,25500,5171302
2001,"Finland",9.1,7,26800,5181115
2002,"Finland",9.1,5,27600,5194901
2003,"Finland",9.0,5,27900,5206295
2004,"Finland",8.8,3,29100,5219732
2005,"Finland",8.4,4,30000,5236611
2006,"Finland",7.7,4,31500,5255580
2007,"Finland",6.9,3,34000,5276955
2008,"Finland",6.4,4,34900,5300484
2009,"Finland",8.2,2,32299,5326314
2010,"Finland",8.4,2,33300,5351427
2011,"Finland",7.8,2,35200,5375276
2012,"Finland",7.7,-3601,35900,5401267
1983,"Sweden",3.7,?,13200,8327488
1984,"Sweden",3.3,?,15500,8330577
1985,"Sweden",2.9,?,16800,8342633
1986,"Sweden",2.7,?,17100,8358139
1987,"Sweden",2.2,?,17700,8381519
1988,"Sweden",1.8,?,19400,8414089
1989,"Sweden",1.6,?,21900,8458888
1990,"Sweden",1.7,?,22500,8527039
1991,"Sweden",3.1,?,24200,8590630
1992,"Sweden",5.6,?,23800,8644120
1993,"Sweden",9.1,?,19800,8692013
1994,"Sweden",9.4,6,20900,8745109
1995,"Sweden",8.8,6,22000,8816381
1996,"Sweden",9.6,4,24600,8837496
1997,"Sweden",9.9,4,25300,8844499
1998,"Sweden",8.2,4,25700,8847625
1999,"Sweden",6.7,6,27400,8854322
2000,"Sweden",5.6,7,30200,8861426
2001,"Sweden",5.8,7,28500,8882792
2002,"Sweden",6.0,5,29900,8909128
2003,"Sweden",6.6,6,31100,8940788
2004,"Sweden",7.4,4,32400,8975670
2005,"Sweden",7.7,4,33000,9011392
2006,"Sweden",7.1,4,35000,9047752
2007,"Sweden",6.1,4,36900,9113257
2008,"Sweden",6.2,5,36100,9182927
2009,"Sweden",8.3,3,31500,9256347
2010,"Sweden",8.6,3,37300,9340682
2011,"Sweden",7.8,3,41000,9415570
2012,"Sweden",8.0,29245,42900,9482855
1983,"UnitedKingdom",10.8,5,9300,56303194
1984,"UnitedKingdom",10.9,4,9900,56362502
1985,"UnitedKingdom",11.2,3,10900,56481641
1986,"UnitedKingdom",11.2,0,10200,56618895
1987,"UnitedKingdom",10.3,0,10700,56743897
1988,"UnitedKingdom",8.5,0,12700,56860203
1989,"UnitedKingdom",7.1,0,13700,56996450
1990,"UnitedKingdom",6.9,0,14000,57156972
1991,"UnitedKingdom",8.6,8,15000,57338199
1992,"UnitedKingdom",9.8,4,14800,57511594
1993,"UnitedKingdom",10.2,0,14700,57649210
1994,"UnitedKingdom",9.3,4,15600,57788017
1995,"UnitedKingdom",8.5,2,15400,57943472
1996,"UnitedKingdom",7.9,0,16700,58094587
1997,"UnitedKingdom",6.8,1,20700,58239312
1998,"UnitedKingdom",6.1,1,22300,58394596
1999,"UnitedKingdom",5.9,0,24000,58579685
2000,"UnitedKingdom",5.4,0,27200,58785246
2001,"UnitedKingdom",5.0,0,27700,58999781
2002,"UnitedKingdom",5.1,0,28600,59216138
2003,"UnitedKingdom",5.0,0,27600,59435480
2004,"UnitedKingdom",4.7,0,29500,59697037
2005,"UnitedKingdom",4.8,1,30700,60038695
2006,"UnitedKingdom",5.4,0,32299,60409918
2007,"UnitedKingdom",5.3,1,33800,60781346
2008,"UnitedKingdom",5.6,3,29500,61191951
2009,"UnitedKingdom",7.6,1,25500,61595091
2010,"UnitedKingdom",7.8,0,27500,62026962
2011,"UnitedKingdom",8.0,1,27800,62515392
2012,"UnitedKingdom",7.9,-70728,30100,62989551
1983,"Norway",?,?,16600,4122511
1984,"Norway",?,?,18800,4134353
1985,"Norway",?,?,20400,4145845
1986,"Norway",?,?,18800,4159187
1987,"Norway",?,?,19200,4175521
1988,"Norway",?,?,20100,4198289
1989,"Norway",4.9,?,21600,4220686
1990,"Norway",5.2,?,21800,4233116
1991,"Norway",5.5,?,22700,4249830
1992,"Norway",5.9,?,23100,4273634
1993,"Norway",6.0,?,23400,4299167
1994,"Norway",5.4,?,24200,4324815
1995,"Norway",4.9,6,26100,4348410
1996,"Norway",4.7,4,28800,4369957
1997,"Norway",3.9,4,31700,4392714
1998,"Norway",3.1,3,30400,4417599
1999,"Norway",3.0,6,33500,4445329
2000,"Norway",3.2,10,40700,4478497
2001,"Norway",3.4,10,42300,4503436
2002,"Norway",3.7,7,45000,4524066
2003,"Norway",4.2,7,43600,4552252
2004,"Norway",4.3,4,45600,4577457
2005,"Norway",4.5,5,52900,4606363
2006,"Norway",3.4,5,58100,4640219
2007,"Norway",2.5,5,61100,4681134
2008,"Norway",2.5,6,65300,4737171
2009,"Norway",3.2,4,56500,4799252
2010,"Norway",3.6,4,65000,4858199
2011,"Norway",3.3,4,71200,4920305
2012,"Norway",3.2,55558,77700,4985870
1983,"Croatia",?,?,?,4646921
1984,"Croatia",?,?,?,4669587
1985,"Croatia",?,?,?,4690983
1986,"Croatia",?,?,?,4711852
1987,"Croatia",?,?,?,4731041
1988,"Croatia",?,?,?,4748450
1989,"Croatia",?,?,?,4761965
1990,"Croatia",?,?,?,4772556
1991,"Croatia",?,?,?,4782179
1992,"Croatia",?,?,?,4595866
1993,"Croatia",?,?,?,4555771
1994,"Croatia",?,?,?,4645155
1995,"Croatia",?,?,3600,4658893
1996,"Croatia",?,?,4100,4581167
1997,"Croatia",?,?,4500,4533028
1998,"Croatia",?,?,5000,4536812
1999,"Croatia",?,4,4800,4527459
2000,"Croatia",?,5,5300,4497735
2001,"Croatia",?,5,5800,4438868
2002,"Croatia",14.8,3,6300,4444608
2003,"Croatia",14.2,3,6800,4442744
2004,"Croatia",13.7,2,7400,4441733
2005,"Croatia",12.7,3,8100,4443901
2006,"Croatia",11.2,3,8900,4442884
2007,"Croatia",9.0,3,9800,4441238
2008,"Croatia",8.4,3,10700,4436401
2009,"Croatia",9.1,2,10100,4435056
2010,"Croatia",11.8,2,10100,4425747
2011,"Croatia",13.5,2,10400,4412137
2012,"Croatia",15.9,37,10300,4398150
1983,"Turkey",?,?,1600,47210448
1984,"Turkey",?,?,1700,48401689
1985,"Turkey",?,?,1500,49662958
1986,"Turkey",?,?,1400,50695548
1987,"Turkey",?,?,1300,51791212
1988,"Turkey",?,?,1500,52953586
1989,"Turkey",?,?,1700,54186642
1990,"Turkey",?,?,2100,55494711
1991,"Turkey",?,?,2200,56714051
1992,"Turkey",?,?,2100,57835076
1993,"Turkey",?,?,2700,58958565
1994,"Turkey",?,?,1900,60079060
1995,"Turkey",?,?,2200,61203584
1996,"Turkey",?,?,2400,62337617
1997,"Turkey",?,?,2700,63484661
1998,"Turkey",?,?,3800,64641675
1999,"Turkey",?,4,3700,65786563
2000,"Turkey",?,4,4500,66889425
2001,"Turkey",?,6,3300,67895581
2002,"Turkey",?,3,3700,68838069
2003,"Turkey",?,3,4000,69770026
2004,"Turkey",?,2,4600,70692009
2005,"Turkey",9.2,2,5600,71610009
2006,"Turkey",8.7,2,6000,72519974
2007,"Turkey",8.8,2,6700,69689256
2008,"Turkey",9.7,2,7000,70586256
2009,"Turkey",12.5,2,6100,71517100
2010,"Turkey",10.7,1,7500,72561312
2011,"Turkey",8.8,0,7500,73722988
2012,"Turkey",8.1,-36400,?,74724269
