"TIME","GEO","CURRENCY","POST","FLOW","PARTNER","Value","Flag and Footnotes"
"2002","Estonia","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-825",""
"2003","Estonia","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-986",""
"2004","Estonia","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-1 095",""
"2005","Estonia","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-1 115",""
"2006","Estonia","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-2 053",""
"2007","Estonia","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-2 563",""
"2008","Estonia","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-1 486",""
"2009","Estonia","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","470",""
"2010","Estonia","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","420",""
"2011","Estonia","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","339",""
"2012","Estonia","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-205",""
"1975","Ireland","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1976","Ireland","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1977","Ireland","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1978","Ireland","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1979","Ireland","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1980","Ireland","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1981","Ireland","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-2 308",""
"1982","Ireland","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-1 908",""
"1983","Ireland","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-1 319",""
"1984","Ireland","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-1 299",""
"1985","Ireland","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-913",""
"1986","Ireland","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-828",""
"1987","Ireland","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-81",""
"1988","Ireland","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","76",""
"1989","Ireland","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-449",""
"1990","Ireland","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-294",""
"1991","Ireland","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","277",""
"1992","Ireland","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","426",""
"1993","Ireland","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","1 535",""
"1994","Ireland","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","1 249",""
"1995","Ireland","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","1 309",""
"1996","Ireland","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","1 622",""
"1997","Ireland","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","1 707",""
"1998","Ireland","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","634",""
"1999","Ireland","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","225",""
"2000","Ireland","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-379",""
"2001","Ireland","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-757",""
"2002","Ireland","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-1 295",""
"2003","Ireland","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-2",""
"2004","Ireland","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-867",""
"2005","Ireland","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-5 690",""
"2006","Ireland","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-6 304",""
"2007","Ireland","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-10 124",""
"2008","Ireland","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-10 169",""
"2009","Ireland","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-3 763",""
"2010","Ireland","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","1 782",""
"2011","Ireland","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","1 785",""
"2012","Ireland","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","8 090",""
"1975","Greece","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1976","Greece","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1977","Greece","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1978","Greece","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1979","Greece","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1980","Greece","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-1 601",""
"1981","Greece","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-2 122",""
"1982","Greece","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-1 931",""
"1983","Greece","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-2 081",""
"1984","Greece","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-2 684",""
"1985","Greece","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-4 391",""
"1986","Greece","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-1 764",""
"1987","Greece","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-1 038",""
"1988","Greece","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-726",""
"1989","Greece","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-2 311",""
"1990","Greece","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-2 844",""
"1991","Greece","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-1 112",""
"1992","Greece","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-1 676",""
"1993","Greece","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-624",""
"1994","Greece","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-167",""
"1995","Greece","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-2 182",""
"1996","Greece","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-3 596",""
"1997","Greece","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-4 231",""
"1998","Greece","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-3 294",""
"1999","Greece","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-4 801",""
"2000","Greece","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-10 618",""
"2001","Greece","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-10 585",""
"2002","Greece","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-10 201",""
"2003","Greece","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-11 266",""
"2004","Greece","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-10 718",""
"2005","Greece","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-14 744",""
"2006","Greece","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-23 759",""
"2007","Greece","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-32 602",""
"2008","Greece","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-34 798",""
"2009","Greece","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-25 814",""
"2010","Greece","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-22 501",""
"2011","Greece","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-20 629",""
"2012","Greece","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-5 988",""
"1975","Spain","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1976","Spain","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1977","Spain","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1978","Spain","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1979","Spain","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1980","Spain","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1981","Spain","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1982","Spain","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1983","Spain","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1984","Spain","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1985","Spain","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1986","Spain","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1987","Spain","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1988","Spain","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1989","Spain","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1990","Spain","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-14 164",""
"1991","Spain","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-16 175",""
"1992","Spain","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-16 707",""
"1993","Spain","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-4 861",""
"1994","Spain","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-5 379",""
"1995","Spain","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-1 323",""
"1996","Spain","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-1 162",""
"1997","Spain","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-473",""
"1998","Spain","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-6 312",""
"1999","Spain","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-16 965",""
"2000","Spain","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-24 948",""
"2001","Spain","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-26 823",""
"2002","Spain","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-23 765",""
"2003","Spain","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-27 476",""
"2004","Spain","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-44 164",""
"2005","Spain","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-66 861",""
"2006","Spain","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-88 313",""
"2007","Spain","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-105 265",""
"2008","Spain","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-104 676",""
"2009","Spain","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-50 539",""
"2010","Spain","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-46 963",""
"2011","Spain","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-39 788",""
"2012","Spain","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-11 268",""
"1975","France","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1976","France","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1977","France","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1978","France","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1979","France","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1980","France","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1981","France","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1982","France","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1983","France","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1984","France","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1985","France","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1986","France","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1987","France","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1988","France","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1989","France","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1990","France","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1991","France","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1992","France","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1993","France","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1994","France","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","6 237",""
"1995","France","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","8 330",""
"1996","France","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","16 164",""
"1997","France","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","34 472",""
"1998","France","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","36 295",""
"1999","France","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","35 309",""
"2000","France","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","17 703",""
"2001","France","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","25 702",""
"2002","France","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","15 354",""
"2003","France","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","7 013",""
"2004","France","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","8 962",""
"2005","France","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-8 327",""
"2006","France","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-10 345",""
"2007","France","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-18 924",""
"2008","France","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-33 725",""
"2009","France","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-25 143",""
"2010","France","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-30 172",""
"2011","France","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-38 934",""
"2012","France","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-46 731",""
"1975","Italy","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-80",""
"1976","Italy","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-1 208",""
"1977","Italy","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","1 128",""
"1978","Italy","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","2 748",""
"1979","Italy","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","2 564",""
"1980","Italy","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-4 593",""
"1981","Italy","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-5 636",""
"1982","Italy","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-4 970",""
"1983","Italy","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","713",""
"1984","Italy","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-2 864",""
"1985","Italy","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-4 139",""
"1986","Italy","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","1 744",""
"1987","Italy","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-1 394",""
"1988","Italy","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-4 204",""
"1989","Italy","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-7 807",""
"1990","Italy","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-10 632",""
"1991","Italy","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-15 847",""
"1992","Italy","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-19 362",""
"1993","Italy","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","6 863",""
"1994","Italy","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","10 603",""
"1995","Italy","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","18 583",""
"1996","Italy","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","30 552",""
"1997","Italy","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","29 996",""
"1998","Italy","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","20 134",""
"1999","Italy","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","11 529",""
"2000","Italy","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-2 402",""
"2001","Italy","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","3 424",""
"2002","Italy","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-5 637",""
"2003","Italy","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-10 415",""
"2004","Italy","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-4 645",""
"2005","Italy","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-12 603",""
"2006","Italy","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-22 345",""
"2007","Italy","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-19 916",""
"2008","Italy","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-44 899",""
"2009","Italy","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-30 174",""
"2010","Italy","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-54 697",""
"2011","Italy","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-48 264",""
"2012","Italy","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-11 584",""
"1975","Cyprus","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1976","Cyprus","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1977","Cyprus","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1978","Cyprus","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1979","Cyprus","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1980","Cyprus","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1981","Cyprus","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1982","Cyprus","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1983","Cyprus","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1984","Cyprus","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1985","Cyprus","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1986","Cyprus","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1987","Cyprus","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1988","Cyprus","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1989","Cyprus","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1990","Cyprus","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1991","Cyprus","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1992","Cyprus","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1993","Cyprus","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1994","Cyprus","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1995","Cyprus","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-159",""
"1996","Cyprus","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-373",""
"1997","Cyprus","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-367",""
"1998","Cyprus","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","258",""
"1999","Cyprus","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-159",""
"2000","Cyprus","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-535",""
"2001","Cyprus","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-351",""
"2002","Cyprus","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-418",""
"2003","Cyprus","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-266",""
"2004","Cyprus","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-635",""
"2005","Cyprus","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-800",""
"2006","Cyprus","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-1 006",""
