"TIME","GEO","S_ADJ","AGE","SEX","Value","Flag and Footnotes"
"1987","Denmark","Not seasonally adjusted data","Total","Total","5.0",""
"1988","Denmark","Not seasonally adjusted data","Total","Total","5.7",""
"1989","Denmark","Not seasonally adjusted data","Total","Total","6.8",""
"1990","Denmark","Not seasonally adjusted data","Total","Total","7.2",""
"1991","Denmark","Not seasonally adjusted data","Total","Total","7.9",""
"1992","Denmark","Not seasonally adjusted data","Total","Total","8.6",""
"1993","Denmark","Not seasonally adjusted data","Total","Total","9.6",""
"1994","Denmark","Not seasonally adjusted data","Total","Total","7.7",""
"1995","Denmark","Not seasonally adjusted data","Total","Total","6.7",""
"1996","Denmark","Not seasonally adjusted data","Total","Total","6.3",""
"1997","Denmark","Not seasonally adjusted data","Total","Total","5.2",""
"1998","Denmark","Not seasonally adjusted data","Total","Total","4.9",""
"1999","Denmark","Not seasonally adjusted data","Total","Total","5.2",""
"2000","Denmark","Not seasonally adjusted data","Total","Total","4.3",""
"2001","Denmark","Not seasonally adjusted data","Total","Total","4.5",""
"2002","Denmark","Not seasonally adjusted data","Total","Total","4.6",""
"2003","Denmark","Not seasonally adjusted data","Total","Total","5.4",""
"2004","Denmark","Not seasonally adjusted data","Total","Total","5.5",""
"2005","Denmark","Not seasonally adjusted data","Total","Total","4.8",""
"2006","Denmark","Not seasonally adjusted data","Total","Total","3.9",""
"2007","Denmark","Not seasonally adjusted data","Total","Total","3.8",""
"2008","Denmark","Not seasonally adjusted data","Total","Total","3.4",""
"2009","Denmark","Not seasonally adjusted data","Total","Total","6.0",""
"2010","Denmark","Not seasonally adjusted data","Total","Total","7.5",""
"2011","Denmark","Not seasonally adjusted data","Total","Total","7.6",""
"2012","Denmark","Not seasonally adjusted data","Total","Total","7.5",""
"1983","Germany (until 1990 former territory of the FRG)","Not seasonally adjusted data","Total","Total",":",""
"1984","Germany (until 1990 former territory of the FRG)","Not seasonally adjusted data","Total","Total",":",""
"1985","Germany (until 1990 former territory of the FRG)","Not seasonally adjusted data","Total","Total",":",""
"1986","Germany (until 1990 former territory of the FRG)","Not seasonally adjusted data","Total","Total",":",""
"1987","Germany (until 1990 former territory of the FRG)","Not seasonally adjusted data","Total","Total",":",""
"1988","Germany (until 1990 former territory of the FRG)","Not seasonally adjusted data","Total","Total",":",""
"1989","Germany (until 1990 former territory of the FRG)","Not seasonally adjusted data","Total","Total",":",""
"1990","Germany (until 1990 former territory of the FRG)","Not seasonally adjusted data","Total","Total",":",""
"1991","Germany (until 1990 former territory of the FRG)","Not seasonally adjusted data","Total","Total","5.5",""
"1992","Germany (until 1990 former territory of the FRG)","Not seasonally adjusted data","Total","Total","6.6",""
"1993","Germany (until 1990 former territory of the FRG)","Not seasonally adjusted data","Total","Total","7.8",""
"1994","Germany (until 1990 former territory of the FRG)","Not seasonally adjusted data","Total","Total","8.5",""
"1995","Germany (until 1990 former territory of the FRG)","Not seasonally adjusted data","Total","Total","8.3",""
"1996","Germany (until 1990 former territory of the FRG)","Not seasonally adjusted data","Total","Total","8.9",""
"1997","Germany (until 1990 former territory of the FRG)","Not seasonally adjusted data","Total","Total","9.7",""
"1998","Germany (until 1990 former territory of the FRG)","Not seasonally adjusted data","Total","Total","9.4",""
"1999","Germany (until 1990 former territory of the FRG)","Not seasonally adjusted data","Total","Total","8.6",""
"2000","Germany (until 1990 former territory of the FRG)","Not seasonally adjusted data","Total","Total","8.0",""
"2001","Germany (until 1990 former territory of the FRG)","Not seasonally adjusted data","Total","Total","7.9",""
"2002","Germany (until 1990 former territory of the FRG)","Not seasonally adjusted data","Total","Total","8.7",""
"2003","Germany (until 1990 former territory of the FRG)","Not seasonally adjusted data","Total","Total","9.8",""
"2004","Germany (until 1990 former territory of the FRG)","Not seasonally adjusted data","Total","Total","10.5",""
"2005","Germany (until 1990 former territory of the FRG)","Not seasonally adjusted data","Total","Total","11.3",""
"2006","Germany (until 1990 former territory of the FRG)","Not seasonally adjusted data","Total","Total","10.3",""
"2007","Germany (until 1990 former territory of the FRG)","Not seasonally adjusted data","Total","Total","8.7",""
"2008","Germany (until 1990 former territory of the FRG)","Not seasonally adjusted data","Total","Total","7.5",""
"2009","Germany (until 1990 former territory of the FRG)","Not seasonally adjusted data","Total","Total","7.8",""
"2010","Germany (until 1990 former territory of the FRG)","Not seasonally adjusted data","Total","Total","7.1",""
"2011","Germany (until 1990 former territory of the FRG)","Not seasonally adjusted data","Total","Total","5.9",""
"2012","Germany (until 1990 former territory of the FRG)","Not seasonally adjusted data","Total","Total","5.5",""
"1983","Estonia","Not seasonally adjusted data","Total","Total",":",""
"1984","Estonia","Not seasonally adjusted data","Total","Total",":",""
"1985","Estonia","Not seasonally adjusted data","Total","Total",":",""
"1986","Estonia","Not seasonally adjusted data","Total","Total",":",""
"1987","Estonia","Not seasonally adjusted data","Total","Total",":",""
"1988","Estonia","Not seasonally adjusted data","Total","Total",":",""
"1989","Estonia","Not seasonally adjusted data","Total","Total",":",""
"1990","Estonia","Not seasonally adjusted data","Total","Total",":",""
"1991","Estonia","Not seasonally adjusted data","Total","Total",":",""
"1992","Estonia","Not seasonally adjusted data","Total","Total",":",""
